Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2024-07-31 00:00:00+05:30,1154.0774818509262,1157.9442605063716,1135.536938415211,1146.7901611328125,10860623,0.0,0.0,TATAMOTORS
2024-08-01 00:00:00+05:30,1157.051852254818,1165.9751313210506,1126.8118509748078,1134.64453125,14375948,0.0,0.0,TATAMOTORS
2024-08-02 00:00:00+05:30,1110.452564556232,1110.452564556232,1080.7579216212832,1087.3016357421875,21967812,0.0,0.0,TATAMOTORS
2024-08-05 00:00:00+05:30,1050.9143381618326,1055.921337516874,1005.4056520369215,1007.7852172851562,26651144,0.0,0.0,TATAMOTORS
2024-08-06 00:00:00+05:30,1021.2197530537146,1051.6085009791702,999.8039067101832,1005.1082763671875,16726393,0.0,0.0,TATAMOTORS
2024-08-07 00:00:00+05:30,1027.2181754059616,1031.332701647702,1006.3971307041668,1016.559814453125,9978703,0.0,0.0,TATAMOTORS
2024-08-08 00:00:00+05:30,1026.1274256460497,1047.394645776842,1018.2452445601227,1032.8695068359375,19529790,0.0,0.0,TATAMOTORS
2024-08-09 00:00:00+05:30,1046.0065692367034,1073.718258843932,1043.0817651564107,1058.994873046875,15443008,0.0,0.0,TATAMOTORS
2024-08-12 00:00:00+05:30,1055.9213430036748,1070.6943512572752,1046.006588609274,1066.976318359375,11311050,0.0,0.0,TATAMOTORS
2024-08-13 00:00:00+05:30,1065.6873246299947,1066.3318078550967,1039.2644806385213,1044.4697265625,7508231,0.0,0.0,TATAMOTORS
2024-08-14 00:00:00+05:30,1047.9895757339816,1057.9539526568697,1038.0748209966687,1053.2939453125,8211830,0.0,0.0,TATAMOTORS
2024-08-16 00:00:00+05:30,1062.861706063661,1090.5733970962497,1060.8787551195123,1088.987060546875,11435650,0.0,0.0,TATAMOTORS
2024-08-19 00:00:00+05:30,1096.4727832218316,1097.5633820694336,1075.7509209984962,1078.4278564453125,6911441,0.0,0.0,TATAMOTORS
2024-08-20 00:00:00+05:30,1087.648644159263,1088.6897418659278,1072.8261335646075,1077.634765625,5625723,0.0,0.0,TATAMOTORS
2024-08-21 00:00:00+05:30,1079.7167517551827,1085.9630954251572,1074.0653901716564,1075.9490966796875,4869876,0.0,0.0,TATAMOTORS
2024-08-22 00:00:00+05:30,1080.708263764658,1085.4177722535408,1055.8717547956096,1059.3419189453125,9377476,0.0,0.0,TATAMOTORS
2024-08-23 00:00:00+05:30,1063.8532067262356,1083.2861022330906,1061.8702557351335,1075.899658203125,10179655,0.0,0.0,TATAMOTORS
2024-08-26 00:00:00+05:30,1079.7167279346238,1093.9443759471033,1073.6191299207858,1083.0877685546875,9415039,0.0,0.0,TATAMOTORS
2024-08-27 00:00:00+05:30,1083.7322545547333,1087.3015418552307,1065.836074839725,1068.06689453125,8813305,0.0,0.0,TATAMOTORS
2024-08-28 00:00:00+05:30,1073.718311772255,1079.419295724477,1060.9778761893203,1065.3900146484375,8145376,0.0,0.0,TATAMOTORS
2024-08-29 00:00:00+05:30,1069.8516695587132,1132.2650028725948,1056.912866078972,1112.0885009765625,40658159,0.0,0.0,TATAMOTORS
2024-08-30 00:00:00+05:30,1104.4540326754902,1105.4951303132332,1088.0946876977607,1101.876220703125,17647545,0.0,0.0,TATAMOTORS
2024-09-02 00:00:00+05:30,1095.5803911724167,1095.5803911724167,1078.080824971728,1083.335693359375,8116675,0.0,0.0,TATAMOTORS
