Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2024-12-09,325.29571533203125,326.8277857620485,322.9234645970865,323.96131486712335,9376929
2024-12-10,324.1095886230469,328.01394011834174,321.5890777662098,328.01394011834174,14994365
2024-12-11,323.76361083984375,325.19686135245564,323.0717207230828,323.46709081334683,5013051
2024-12-12,325.3945617675781,326.0864518849506,322.0832806996824,324.20842133093345,10414162
2024-12-13,329.9908142089844,330.43559426400026,321.29252110051897,326.8277930486687,14973536
2024-12-16,331.12750244140625,332.3630528236503,327.7668114346633,329.9908021227026,12695136
2024-12-17,325.98760986328125,331.67114177987594,324.20842932922585,328.6564108291695,17360248
2024-12-18,317.8329772949219,325.29571991463956,316.94338702738605,324.2084295144046,15037099
2024-12-19,317.93182373046875,320.1064045061048,313.18732224792353,314.3240225859495,10234715
2024-12-20,312.1494445800781,321.8361779263671,309.97489394995165,317.5858664026019,13973399
2024-12-23,311.65521240234375,314.620533282156,307.94856130257847,314.3240132600963,5984169
2024-12-24,306.5153503417969,312.98962239462014,305.180949872148,310.46911163568706,4833589
2024-12-26,306.7130126953125,309.4806636312283,305.18094229787636,306.51534273440683,3775101
2024-12-27,305.82342529296875,308.6898961534959,305.2303550751483,307.1578257418637,3981693
2024-12-30,303.99481201171875,308.3933835546217,302.75926159683644,305.42806255890423,12489142
2024-12-31,305.13153076171875,306.1693810042863,301.62254961984945,303.79713033212914,8402716
2025-01-01,306.8118591308594,307.7508894696727,302.3638778382138,305.13152874140883,4239498
2025-01-02,311.5069580078125,313.5332787444346,305.18094604978194,306.26823642494446,10766571
2025-01-03,312.39654541015625,314.3240160651567,310.02429471809705,312.69309559966626,7636948
2025-01-06,302.4627380371094,312.8413614011278,301.27659758672826,312.149441110938,6722495
2025-01-07,301.5237121582031,307.1084241833969,299.4974215371576,302.462742542476,10137739
2025-01-08,303.105224609375,304.2913650847894,299.4974233967971,302.61100443875324,6907996
2025-01-09,301.7214050292969,303.35232551000786,300.1398944982299,303.1052154321788,8244909
2025-01-10,296.2355651855469,301.7213966959148,295.0494247788061,300.535256289174,6540783
2025-01-13,284.27545166015625,295.09885543059755,283.4352713268366,291.5899042420812,19474228
2025-01-14,286.8948059082031,289.66242676749374,283.48467470228695,284.4237050821204,15954608
2025-01-15,295.19769287109375,299.0031941017128,287.73498058836117,291.58989176861246,12198882
2025-01-16,294.2092590332031,298.11361041379456,293.17140874965605,295.5436595154815,11694289
2025-01-17,299.10205078125,301.47430154735014,292.28181851691033,294.20925906726444,7593230
2025-01-20,302.7098388671875,305.23034954122136,298.45955768534117,299.10203784099645,9435937
2025-01-21,298.8549499511719,306.36710274708463,298.0147696091963,303.45119160870075,13911546
2025-01-22,294.11041259765625,298.80550423654716,292.38064199385434,298.50898419896043,9723333
2025-01-23,290.9474182128906,296.13672996401897,290.20608796272944,294.0609992306066,12228286
2025-01-24,292.4300842285156,299.0032065376212,290.9474237002299,291.88642393592744,11142914
2025-01-27,283.682373046875,291.58989564051615,280.4699419932083,291.58989564051615,13477947
2025-01-28,280.6676330566406,285.4615443423182,276.12080167922727,283.83062389302967,11298068
2025-01-29,284.5225524902344,285.8075128418718,280.02513092989386,282.0514516872356,4800024
2025-01-30,291.93585205078125,293.66562259600283,284.5225497141175,284.5225497141175,10969499
2025-01-31,298.16302490234375,299.942235627395,292.47949290208516,293.56678331770445,14141459
2025-02-01,286.49945068359375,301.8202766007399,285.3133101595695,298.1630351223372,6945157
2025-02-03,280.51934814453125,288.62457075916944,274.7864064077024,286.6476901375313,14978897
2025-02-04,282.34796142578125,283.0892916396586,268.9546076276525,277.7517201327026,19836427
2025-02-05,281.9031982421875,287.38903008677823,281.2606878865894,282.29856834692106,15337191
2025-02-06,277.8999938964844,287.5867272694509,276.51618346171915,284.17659605091785,21418561
2025-02-07,278.1499938964844,281.8999938964844,270.0,273.1000061035156,17193482
2025-02-10,268.70001220703125,276.0,268.1000061035156,275.0,16709670
2025-02-11,261.45001220703125,268.79998779296875,260.0,268.70001220703125,22083955
2025-02-12,257.04998779296875,262.1000061035156,254.0,259.5,17861265
2025-02-13,259.1499938964844,261.3500061035156,256.1000061035156,257.25,12257226
2025-02-14,257.3500061035156,261.5,254.75,260.3999938964844,11339563
2025-02-17,263.20001220703125,264.0,252.1999969482422,256.8999938964844,8332653
2025-02-18,266.95001220703125,267.8999938964844,260.20001220703125,263.8500061035156,10483635
2025-02-19,263.04998779296875,268.5,262.29998779296875,262.5,14602009
2025-02-20,265.75,266.45001220703125,261.29998779296875,262.75,15312926
2025-02-21,261.8999938964844,265.75,259.3999938964844,265.29998779296875,10757038
2025-02-24,259.1499938964844,261.79998779296875,257.25,258.0,14599185
2025-02-25,255.75,259.95001220703125,254.89999389648438,258.79998779296875,21287363
2025-02-27,256.25,257.45001220703125,253.4499969482422,254.0,13614799
2025-02-28,250.85000610351562,257.0,247.3000030517578,255.89999389648438,38512868
2025-03-03,252.5,253.8000030517578,248.5,253.0,9873539
2025-03-04,254.0,257.1499938964844,249.4499969482422,250.0,11947033
2025-03-05,264.3999938964844,267.20001220703125,255.75,256.95001220703125,14536637
2025-03-06,266.6499938964844,267.29998779296875,260.70001220703125,265.1499938964844,11926868
2025-03-07,263.29998779296875,268.6499938964844,261.6000061035156,266.0,10043068
2025-03-10,271.29998779296875,274.25,261.04998779296875,261.04998779296875,30233763
2025-03-11,267.29998779296875,271.8500061035156,265.8500061035156,270.0,9255499
2025-03-12,267.1000061035156,272.3999938964844,263.6000061035156,270.70001220703125,11875548
2025-03-13,267.6499938964844,270.6499938964844,265.5,269.79998779296875,9270442
2025-03-17,267.3500061035156,270.6499938964844,264.95001220703125,270.0,11987667
2025-03-18,267.3500061035156,267.3500061035156,267.3500061035156,267.3500061035156,0
2025-03-19,277.20001220703125,278.29998779296875,269.79998779296875,272.0,13089950
2025-03-20,280.3500061035156,283.54998779296875,277.04998779296875,283.5,13710249
2025-03-21,283.1000061035156,285.1499938964844,280.04998779296875,281.0,26003527
2025-03-24,291.8500061035156,293.95001220703125,284.45001220703125,285.0,19966817
2025-03-25,291.0,295.25,287.6499938964844,291.0,16983852
2025-03-26,290.8500061035156,296.75,289.54998779296875,291.70001220703125,20367015
2025-03-27,295.5,297.25,289.0,289.0,37203166
2025-03-28,290.3500061035156,294.25,288.29998779296875,293.8999938964844,10834900
2025-04-01,289.29998779296875,296.95001220703125,287.0,289.6000061035156,11603556
2025-04-02,286.75,289.75,284.5,286.8500061035156,11679536
2025-04-03,299.1000061035156,299.95001220703125,285.1000061035156,289.3500061035156,23478876
2025-04-04,293.8999938964844,300.8999938964844,292.1000061035156,300.0,21020875
2025-04-07,289.3999938964844,293.8999938964844,282.29998779296875,283.6000061035156,22847548
