Date,Open,High,Low,Close,Volume
,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS
2024-07-31,492.58119240403136,494.4162087680428,480.39486647829375,491.4049072265625,11972565
2024-08-01,503.45004141671126,510.27249524899383,496.8628446131281,508.5316162109375,34763894
2024-08-02,502.50904251258635,505.52034414214415,491.49900144228513,493.56927490234375,10985150
2024-08-05,484.62949774496286,484.62949774496286,468.20854502353177,476.9130554199219,11835031
2024-08-06,478.1364039901508,486.6997658133289,468.63201402635764,470.1376647949219,7142269
2024-08-07,477.76003420624886,501.3798193277499,477.76003420624886,500.156494140625,18293730
2024-08-08,502.5090118531448,503.45003996522934,490.5109034240669,492.5811767578125,13624148
2024-08-09,498.7448882479442,500.01525319652126,491.07548633169966,498.5566711425781,6468264
2024-08-12,497.803877313689,499.2154194988885,492.4400055227712,493.05169677734375,5238736
2024-08-13,494.03975614247054,498.6508168407859,489.33461560778034,490.9814147949219,5201294
2024-08-14,492.06367565079233,496.7688167167368,469.6201183047549,474.93695068359375,14766889
2024-08-16,482.54048640034716,490.19154988614434,477.5981654246971,486.9125061035156,7313429
2024-08-19,488.33818246818134,497.50999152831645,487.72042858988846,496.1318359375,10737456
2024-08-20,498.36532477357605,502.26218026588657,495.22887094547406,498.6029357910156,8191127
2024-08-21,500.4088120795017,508.72519784530533,498.4129026999101,505.82635498046875,9067794
2024-08-22,507.53711343918377,508.9152688886374,500.6939048019487,502.6423034667969,8531700
2024-08-23,502.7374275930975,514.3328574296066,502.64234837503693,512.1467895507812,12566904
2024-08-26,515.1406845102725,516.6138612125834,508.2024544206294,511.4339294433594,7193307
2024-08-27,512.3844135208122,514.8556030952207,503.73539503664983,505.0660400390625,7865530
2024-08-28,507.4421348085007,509.0103327876391,499.41087045671566,500.2662353515625,6066259
2024-08-29,500.26622428708635,503.7353684247792,490.5241723505694,501.4067687988281,9147836
2024-08-30,503.73540030841383,510.388509369091,496.13184709621135,498.9356689453125,30921282
2024-09-02,500.88407315734986,502.78496148052767,491.99744345069684,495.038818359375,6370038
2024-09-03,495.18141408925464,497.6525457346329,492.5676926137355,493.85076904296875,5526155
2024-09-04,491.2370067461675,491.2370067461675,475.7447796171257,478.691162109375,16783593
2024-09-05,482.3503596346143,482.3503596346143,470.6123697124065,472.3706970214844,10830621
2024-09-06,474.2715993310182,474.2715993310182,457.2111163702166,464.3394470214844,13110103
2024-09-09,463.81672243549986,464.29194448717556,454.3597920050522,460.4426574707031,10189742
2024-09-10,463.1513871450693,467.61848590931163,457.9239447212863,466.7630920410156,9809547
2024-09-11,468.4263845056775,469.0916779782352,458.06654952782884,459.9674377441406,8134497
2024-09-12,462.86628023997105,472.6083323394776,458.3516707304436,471.0876159667969,12058489
2024-09-13,472.3707285350467,473.178611839628,465.24239762153996,465.9552307128906,8093877
2024-09-16,468.09374647338683,470.3748066449983,463.1989648747666,468.80657958984375,5244657
2024-09-17,468.80654051359994,470.279717229383,463.48404788664766,464.29193115234375,5063902
2024-09-18,465.52748524918866,469.13919005134863,462.0583702590848,462.9613037109375,6527832
2024-09-19,464.76716624101476,467.23832670919535,452.64900393104966,454.2647705078125,10014450
2024-09-20,457.11610339414995,473.3211637643007,456.4982915223843,466.62054443359375,12982128
2024-09-23,469.0441688901032,477.59816589113854,466.19283655642477,475.7923278808594,6123879
2024-09-24,479.9742824496024,481.5425094525951,476.6952386208654,479.3089599609375,7306001
2024-09-25,481.3999439534669,481.8751660106766,477.1229454385792,480.2593994140625,5059851
2024-09-26,480.9247160759653,482.3028716272957,475.26956206150874,481.44744873046875,6877039
2024-09-27,481.44744049635693,492.1874470735329,479.8792135544155,490.524169921875,15443031
2024-09-30,487.5778512310671,488.0055627026695,477.59818760937856,484.86907958984375,8881502
2024-10-01,486.62739675516224,490.42917329231193,481.0672927685302,483.30084228515625,4743517
2024-10-03,474.7468254520304,484.63143823897025,474.7468254520304,477.4555969238281,11285134
2024-10-04,474.8418815886182,479.64161272616343,469.5668993923904,472.5608215332031,7170285
2024-10-07,473.4162329646354,475.7448037095476,451.7936287326106,456.6408996582031,8940891
2024-10-08,456.9735270861647,468.3313460662293,452.83911831596214,467.4759521484375,6049075
2024-10-09,467.61851793684,471.42029450543225,461.5831918331493,462.81878662109375,6874313
2024-10-10,464.48204594597394,469.4718774996988,461.96334586227294,463.9117736816406,4700891
2024-10-11,463.3415216542625,469.4243583939037,463.2940110490148,468.5214538574219,4364566
2024-10-14,470.422328131311,477.55065902123744,468.52143989399735,473.6062927246094,5369297
2024-10-15,473.6062997439693,474.6042834865018,465.76513564883567,469.9471130371094,4279311
2024-10-16,470.46981465257426,474.6517627595469,468.4738763045131,471.1826477050781,8000451
2024-10-17,471.1826623774695,472.60832852687184,463.05637692797706,465.62255859375,4334990
2024-10-18,463.8167169609403,469.2817704907055,459.39715773357193,467.80859375,4573163
2024-10-21,467.61851819741076,470.23223958977434,458.446738021622,461.3455810546875,4737527
2024-10-22,460.9653914965068,463.34150176195277,444.04749800863283,445.1405029296875,8671135
2024-10-23,445.140506646576,452.45890892210616,436.2063377749502,450.6055603027344,10686743
2024-10-24,450.60556360674684,459.82485417810534,449.6075798764575,453.5994567871094,5045880
2024-10-25,454.407336300593,455.31024080493904,436.2538479382765,438.2497863769531,10330954
2024-10-28,429.60071260428856,435.30337693089416,413.6807746925146,419.76361083984375,21378247
2024-10-29,422.1872910696987,424.4683511640156,417.05486960091963,423.4703674316406,7680865
2024-10-30,425.7989628439733,433.21241532710224,422.9476305035003,426.8919677734375,7818123
2024-10-31,429.60074379046085,431.9768540990364,421.236847106376,429.64825439453125,8475238
2024-11-01,432.11938707015366,436.776557173797,429.93337732923465,431.6441650390625,3095957
2024-11-04,435.3033876922115,435.4459485028508,413.9183959387732,421.33184814453125,15720990
2024-11-05,422.8593466076961,429.90535384216594,420.7898821561143,428.5749816894531,10186343
2024-11-06,431.4327963286503,432.51680437444935,424.9288082013405,429.4618835449219,9130749
2024-11-07,431.4328133458176,433.94574528843526,428.32863160375445,429.0184631347656,5861077
2024-11-08,429.01845754897573,429.6589982058643,415.12351604178974,417.8827819824219,9934413
2024-11-11,416.84805221036174,419.5580572779232,411.28022963175664,415.41912841796875,7201246
2024-11-12,416.3553166037594,418.62185422678016,406.79637777886273,408.0281982421875,6564348
2024-11-13,407.9789547958086,409.45713941463396,399.7996786011386,400.9822082519531,7170870
2024-11-14,401.2778696217793,407.33842064090226,396.74476403698026,403.790771484375,8776485
2024-11-18,407.92968927925756,412.41350387492395,405.02258086641274,407.3384094238281,7352509
2024-11-19,409.90059518358646,415.86259428062465,404.7269491646924,406.25439453125,6291292
2024-11-21,407.0427621258423,407.88040609733235,398.27220600529853,400.0953063964844,14141967
2024-11-22,401.47491939204826,409.7034861018058,400.4894630213885,408.0281982421875,8155453
2024-11-25,414.87714235292896,421.2333481310635,409.6542354881967,411.3787841796875,10903727
2024-11-26,412.3642540232868,413.8916994560677,403.7415102846187,405.51531982421875,5798977
2024-11-27,413.8916866282527,414.87714302498665,406.697866961592,411.0831298828125,9219932
2024-11-28,413.89167759502675,418.720407818887,407.48621115605613,409.1614990234375,7788912
2024-11-29,409.26004707815645,411.92079149289515,405.02259642004765,410.34405517578125,7057742
