Price,Close,High,Low,Open,Volume
Ticker,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
Date,,,,,
2024-09-03,343.34368896484375,347.49783689594796,341.50814894055316,347.30460974293874,9289259
2024-09-04,345.13092041015625,351.6036464557041,342.619114952974,343.3436725185656,19416507
2024-09-05,348.4638977050781,351.9900719682458,343.681805969634,347.30459380487264,15927510
2024-09-06,340.20391845703125,352.8595296609806,339.14122814543447,350.0579130084599,19044553
2024-09-09,336.00146484375,341.55640587497743,335.3252288423846,340.1556123477998,9200270
2024-09-10,334.2142639160156,339.5759780929756,332.9583464498912,337.1607862146472,8137710
2024-09-11,328.7076110839844,340.8318623890833,327.0652688315616,338.0785672634369,12194591
2024-09-12,332.6202087402344,334.45577812630427,328.85251536257937,331.79906709968157,15970391
2024-09-13,330.68804931640625,337.8853326701429,330.0601053451491,334.26254497174966,11006109
2024-09-16,329.09405517578125,333.1998815652045,328.46611115386366,333.1998815652045,4850244
2024-09-17,326.92034912109375,329.28724882712214,323.6839862822276,328.41778569428436,7237522
2024-09-18,324.69842529296875,328.3695054182379,323.10440443547884,327.50004217618203,4111826
2024-09-19,313.443603515625,326.485639232242,311.9944884360009,326.485639232242,12549677
2024-09-20,319.9646301269531,321.80017004822605,313.44361209025425,315.37576558260946,14642546
2024-09-23,326.63055419921875,327.98305574914247,320.06121462736814,321.70355689091144,6110287
2024-09-24,327.6449279785156,331.5575565545191,325.2780576007011,327.06527602477547,7068491
2024-09-25,328.27288818359375,330.2050418032319,323.7806369143999,329.43219214830646,6087353
2024-09-26,333.39306640625,335.1803141512887,323.7805916980151,328.4660694677694,9517367
2024-09-27,354.8399658203125,357.93142310292905,334.6006763194049,335.2286202880334,40756678
2024-09-30,357.4001159667969,363.24486868326574,347.9325458489559,354.6950832978465,23860696
2024-10-01,355.75775146484375,360.68474862395766,351.7968310238964,357.44838572163525,9440793
2024-10-03,337.0158996582031,349.33337893428785,335.2286516706985,341.7496701109787,20754875
2024-10-04,328.7076110839844,336.1464137816795,323.0077642092644,330.8812837509615,18185208
2024-10-07,323.6357116699219,331.65413691239684,321.5103310242351,330.3982489286964,7847806
2024-10-08,326.533935546875,327.93475860176534,317.1146874060998,320.25443678635816,9565667
2024-10-09,327.3551330566406,338.12688359469234,326.29244266887815,333.2964995433396,13523561
2024-10-10,324.0704345703125,331.6541129334871,323.20094197119136,330.39822504058856,5706365
2024-10-11,326.1958312988281,327.8864657282425,322.6696568139431,324.0704799912449,4046559
2024-10-14,329.1906433105469,332.9100445899771,325.80937478057797,328.46608576841066,7967181
2024-10-15,336.9192810058594,339.57599218224965,332.2338026710335,332.5236433978523,17183945
2024-10-16,338.8514099121094,343.8266991291086,336.2429909723162,340.0590058134355,17073700
2024-10-17,331.0744934082031,338.70649336163876,330.2533223253573,337.30567036841234,11023063
2024-10-18,330.88128662109375,332.2337881735914,322.95944548424364,331.07451376387456,7328694
2024-10-21,320.39935302734375,333.7795221111889,318.9985594083115,330.9295838631858,8609636
2024-10-22,311.9461975097656,321.2688328733506,311.0767342731689,320.7375024182984,6372285
2024-10-23,312.091064453125,314.7960968878789,305.81156593710784,311.07669571654293,6639274
2024-10-24,310.5453796386719,314.36136506948594,309.14455657376806,312.04278679164713,5706821
2024-10-25,295.9093017578125,312.62244750606317,292.8178737947011,312.47754188756664,11583887
2024-10-28,299.8702087402344,304.79720592100017,294.9432115594686,296.87536500429263,13299872
2024-10-29,300.8846130371094,302.3337281498603,291.99669521930815,301.4159434521891,8437903
2024-10-30,300.73968505859375,304.2175673079832,296.9236995274174,298.51772029270995,6248318
2024-10-31,300.2083435058594,305.4734734712965,297.3584053626738,299.9668243236342,11375689
2024-11-01,302.38201904296875,303.2031901668662,301.22271516425207,301.3676502608334,710149
2024-11-04,293.156005859375,302.8650655456607,287.9874892749701,302.3820271636102,14063318
2024-11-05,297.50335693359375,298.5660178083769,290.016261869979,290.7891115029711,9542018
2024-11-06,306.246337890625,308.1784914419854,296.827089327743,301.2227268641585,10787602
2024-11-07,304.3141784667969,306.92259750372716,300.5464850108154,305.618387985262,7387875
2024-11-08,299.91851806640625,304.41076874643323,296.39231458717495,304.3141551816575,9304376
2024-11-11,301.947265625,303.34808865534984,293.73561354356536,297.5516283625725,5277147
2024-11-12,299.2905578613281,307.7437292121181,298.5660003169747,303.44470547168095,7192998
2024-11-13,295.4745788574219,298.5177147128848,291.75517748637935,297.50334592183805,7306795
2024-11-14,288.0841064453125,295.61949350646955,286.3451505588215,295.4262663583072,11061057
2024-11-18,279.389404296875,289.48488851504123,278.5199116472082,288.03577340869293,7940666
2024-11-19,277.7470703125,287.79426278560055,276.78099354619565,282.7223597625027,9912544
2024-11-21,272.820068359375,277.69877363726715,269.873546064201,277.69877363726715,8273120
2024-11-22,276.1530456542969,277.2640280234314,271.51585955196776,273.0132962080385,6539977
2024-11-25,286.49005126953125,294.0737597289374,282.0944138062332,282.1427058512845,16903527
2024-11-26,283.88165283203125,290.7890955508103,283.3986144673289,287.84257331905485,5160007
2024-11-27,283.4952392578125,286.9247999900164,281.1766314296103,286.8765079445635,5995425
2024-11-28,281.0800476074219,288.6154346093131,279.6792245000708,284.46131629740546,13130411
2024-11-29,282.1910400390625,284.2680992689468,279.58262087815945,282.4808512870187,8125467
2024-12-02,284.17144775390625,285.8620819333662,280.6452737903538,282.7223327429406,5193026
2024-12-03,284.2680969238281,287.6976577530891,282.14271618193527,287.40784650752374,9198285
2024-12-04,283.6884460449219,289.38829326084993,282.915596398883,284.21980597360727,9840659
2024-12-05,286.9248046875,288.1324006668245,281.4181552288508,285.0892646953915,9287638
2024-12-06,290.1611633300781,293.59072406549683,286.3451483013813,287.7942634542044,9586531
2024-12-09,293.156005859375,293.88056343245074,288.95356603907106,290.7408139491225,11637358
2024-12-10,293.20428466796875,296.2957419664576,290.64418725514116,292.044980810455,8649367
2024-12-11,297.0202941894531,298.46940924424183,291.8517779309092,293.15598737668324,10867782
2024-12-12,291.90008544921875,297.02030993699776,291.0789143115037,296.6338556493746,7454904
2024-12-13,291.4653625488281,294.79830959297095,285.95871337005696,291.75517377620673,7726611
2024-12-16,287.84259033203125,291.4653782814242,285.7655016551869,290.7408206915456,8696443
2024-12-17,283.06048583984375,289.67811742915103,282.1910226671756,289.67811742915103,8415828
2024-12-18,278.5199279785156,283.0605007042437,277.89198395874234,281.8529047114781,6535229
2024-12-19,284.5578918457031,285.81380929653,272.48193260115073,272.48193260115073,11822064
2024-12-20,279.2444763183594,289.05017904045576,277.2640307487972,283.59182174821854,9979749
2024-12-23,279.2928161621094,284.8960499573521,278.2301257575427,282.09443305973076,6819725
2024-12-24,282.09442138671875,285.42739808986806,277.6021702302786,280.1139757692278,7937629
2024-12-26,285.5722961425781,289.1467624650606,282.6257443352863,284.8477385726032,11310555
2024-12-27,283.591796875,287.31119797967915,282.57742815659685,285.0409118911877,3708404
2024-12-30,283.3503112792969,285.2341728164844,279.92075046088513,283.5918304772787,8236910
2024-12-31,282.5291748046875,284.4130068943078,280.93512448273833,281.56309799493624,4161509
2025-01-01,285.2824401855469,285.8620921070267,280.4520566437508,282.38421006046923,3545200
2025-01-02,286.8281555175781,287.6010345378265,281.9011586369052,285.2824269594015,6846413
2025-01-03,286.34515380859375,289.00186497319874,284.36470818790866,285.9587289902069,4806469
2025-01-06,275.18695068359375,287.1662957274856,274.46239316704,286.3451246455938,7361716
2025-01-07,273.2065124511719,280.64531574579763,271.1777747183874,277.3606604596956,8306436
2025-01-08,277.07080078125,278.1334911053003,270.98452903436976,273.20649377184725,6037032
2025-01-09,270.5014953613281,278.08520389560147,269.5837106377086,277.2640327453613,6215902
2025-01-10,268.2312316894531,273.88278716228285,266.2507859385292,270.984556610301,9073218
